Company_ID,Company_Name,City,State,Zip_Code,Number_Physicians,Revenue_Millions,Profit_Millions,Asset_Millions,Employees_Single_Site,Employees_All_Sites,Ownership_Type,Entity_Type,Ticker,Parent_Company,Parent_Country,Ultimate_Parent_Company,Ultimate_Parent_Country,Industry,SIC8_Code,SIC8_Description,SIC4_.Code,SIC4_Description
C1,"21st Century Oncology Holdings, Inc.",Fort Myers,Florida,33907,1,1079,NA,1147,NA,3930,Private,Subsidiary,NA,"21st Century Oncology Investments, LLC",United States,GENESIS CARE PTY LIMITED,Australia,Physicians and Health Practitioners,80110108,Oncologist,8011,Offices and Clinics of Doctors of Medicine
C2,A Woman's View PA,Hickory,North Carolina,28602,1,6,NA,NA,20,20,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80110508,Gynecologist,8011,Offices and Clinics of Doctors of Medicine
C3,"A3i, Inc.",Lake Mary,Florida,32746,1,12,NA,NA,82,82,Private,Independent,NA,NA,NA,NA,NA,Ambulatory Services,80999905,Medical services organization,8099,"Health and Allied Services, Not Elsewhere Classified"
C4,"AAC Holdings, Inc.",Brentwood,Tennessee,37027,10,296,-70,0,880,1900,Public,Parent,A36,"AAC Holdings, Inc.",United States,"AAC Holdings, Inc.",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C5,"Aaron E. Henry Community Health Services Center, Inc.",Clarksdale,Mississippi,38614,1,11,NA,5,40,134,Nonprofit,Parent,NA,"Aaron E. Henry Community Health Services Center, Inc.",United States,"Aaron E. Henry Community Health Services Center, Inc.",United States,Physicians and Health Practitioners,80110202,"Clinic, operated by physicians",8011,Offices and Clinics of Doctors of Medicine
C6,Abbeville County Memorial Hospital,Abbeville,South Carolina,29620,1,40,NA,38,1,1,Nonprofit,Independent,NA,NA,NA,NA,NA,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
C7,Abercrombie Radiological Consultants Inc,Knoxville,Tennessee,37909,1,7,NA,0,6,75,Private,Parent,NA,Abercrombie Radiological Consultants Inc,United States,Abercrombie Radiological Consultants Inc,United States,Physicians and Health Practitioners,80110519,Radiologist,8011,Offices and Clinics of Doctors of Medicine
C8,Abingdon Healthcare For Women,Abingdon,Virginia,24211,2,15,NA,4,13,13,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80110508,Gynecologist,8011,Offices and Clinics of Doctors of Medicine
C9,"Ableto, Inc.",New York,New York,10018,1,18,NA,NA,NA,160,Private,Parent,NA,"Ableto, Inc.",United States,"Ableto, Inc.",United States,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C10,"Academic Alliance In Dermatology, Inc.",Tampa,Florida,33615,1,14,NA,1,7,87,Private,Parent,NA,"Academic Alliance In Dermatology, Inc.",United States,"Academic Alliance In Dermatology, Inc.",United States,Physicians and Health Practitioners,80110503,Dermatologist,8011,Offices and Clinics of Doctors of Medicine
C11,"Acadia Abilene, LLC",Franklin,Tennessee,37067,1,7,NA,1,90,90,Private,Independent,NA,NA,NA,NA,NA,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C12,"Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,16,3107,136,7105,NA,42800,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
C13,"Access Clinical Partners, LLC",Atlanta,Georgia,30342,1,12,NA,NA,NA,135,Private,Parent,NA,"Access Clinical Partners, LLC",United States,"Access Clinical Partners, LLC",United States,Diagnostic Laboratories,80710000,Medical laboratories,8071,Medical Laboratories
C14,"Access Medical Laboratories, Inc.",Jupiter,Florida,33458,1,11,NA,NA,NA,75,Private,Independent,NA,NA,NA,NA,NA,Diagnostic Laboratories,80710100,Testing laboratories,8071,Medical Laboratories
C15,Accreditation Association For Ambulatory Health Care,Skokie,Illinois,60077,1,13,NA,20,58,58,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80110201,Ambulatory surgical center,8011,Offices and Clinics of Doctors of Medicine
