Physician_ID,First_Name,Last_Name,Title,Company_Name,City,State,Zip_Code,Ownership_Type,Entity_Type,Ticker,Parent_Company,Parent_Country,Ultimate_Parent_Company,Ultimate_Parent_Country,Industry,SIC8_Code,SIC8_Description,SIC4_.Code,SIC4_Description
P1,Kim,Commins-Tzoumakas,CEO,"21st Century Oncology Holdings, Inc.",Fort Myers,Florida,33907,Private,Subsidiary,NA,"21st Century Oncology Investments, LLC",United States,GENESIS CARE PTY LIMITED,Australia,Physicians and Health Practitioners,80110108,Oncologist,8011,Offices and Clinics of Doctors of Medicine
P2,Vickie,Lovin,Ceo,A Woman's View PA,Hickory,North Carolina,28602,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80110508,Gynecologist,8011,Offices and Clinics of Doctors of Medicine
P3,Jorge,Amaro,Chief Executive Officer,"A3i, Inc.",Lake Mary,Florida,32746,Private,Independent,NA,NA,NA,NA,NA,Ambulatory Services,80999905,Medical services organization,8099,"Health and Allied Services, Not Elsewhere Classified"
P4,Andrew,McWilliams,"Chief Executive Officer, Director","AAC Holdings, Inc.",Brentwood,Tennessee,37027,Public,Parent,A36,"AAC Holdings, Inc.",United States,"AAC Holdings, Inc.",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P5,Chris,Chi,"Chief Legal Officer, General Counsel, Secretary","AAC Holdings, Inc.",Brentwood,Tennessee,37027,Public,Parent,A36,"AAC Holdings, Inc.",United States,"AAC Holdings, Inc.",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P6,Stephen,Ebbett,Chief Digital and Marketing Officer,"AAC Holdings, Inc.",Brentwood,Tennessee,37027,Public,Parent,A36,"AAC Holdings, Inc.",United States,"AAC Holdings, Inc.",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P7,Karen,Abbott,Chief Compliance Officer,"AAC Holdings, Inc.",Brentwood,Tennessee,37027,Public,Parent,A36,"AAC Holdings, Inc.",United States,"AAC Holdings, Inc.",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P8,Michael,Cartwright,Chairman of the Board,"AAC Holdings, Inc.",Brentwood,Tennessee,37027,Public,Parent,A36,"AAC Holdings, Inc.",United States,"AAC Holdings, Inc.",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P9,Jerry,Bostelman,Independent Director,"AAC Holdings, Inc.",Brentwood,Tennessee,37027,Public,Parent,A36,"AAC Holdings, Inc.",United States,"AAC Holdings, Inc.",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P10,Lucius,Burch,Independent Director,"AAC Holdings, Inc.",Brentwood,Tennessee,37027,Public,Parent,A36,"AAC Holdings, Inc.",United States,"AAC Holdings, Inc.",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P11,T. Michael,Logan,Independent Director,"AAC Holdings, Inc.",Brentwood,Tennessee,37027,Public,Parent,A36,"AAC Holdings, Inc.",United States,"AAC Holdings, Inc.",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P12,Bob,Nash,Independent Director,"AAC Holdings, Inc.",Brentwood,Tennessee,37027,Public,Parent,A36,"AAC Holdings, Inc.",United States,"AAC Holdings, Inc.",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P13,Scott,Vogel,Independent Director,"AAC Holdings, Inc.",Brentwood,Tennessee,37027,Public,Parent,A36,"AAC Holdings, Inc.",United States,"AAC Holdings, Inc.",United States,Outpatient Care,80930100,Substance abuse clinics (outpatient),8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P14,Aurelia,Jones-Taylor,Ceo,"Aaron E. Henry Community Health Services Center, Inc.",Clarksdale,Mississippi,38614,Nonprofit,Parent,NA,"Aaron E. Henry Community Health Services Center, Inc.",United States,"Aaron E. Henry Community Health Services Center, Inc.",United States,Physicians and Health Practitioners,80110202,"Clinic, operated by physicians",8011,Offices and Clinics of Doctors of Medicine
P15,Cindy,Buck,Interim Chief Executive Officer,Abbeville County Memorial Hospital,Abbeville,South Carolina,29620,Nonprofit,Independent,NA,NA,NA,NA,NA,Hospitals,80620000,General medical and surgical hospitals,8062,General Medical and Surgical Hospitals
P16,Shannon,Hampson,Chief Executive Officer,Abercrombie Radiological Consultants Inc,Knoxville,Tennessee,37909,Private,Parent,NA,Abercrombie Radiological Consultants Inc,United States,Abercrombie Radiological Consultants Inc,United States,Physicians and Health Practitioners,80110519,Radiologist,8011,Offices and Clinics of Doctors of Medicine
P17,Lisa,Carter,Ceo,Abingdon Healthcare For Women,Abingdon,Virginia,24211,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80110508,Gynecologist,8011,Offices and Clinics of Doctors of Medicine
P18,Alan,Levine,"Executive Chairman, President And Chief Executive Officer",Abingdon Healthcare For Women,Abingdon,Virginia,24211,Private,Independent,NA,NA,NA,NA,NA,Physicians and Health Practitioners,80110508,Gynecologist,8011,Offices and Clinics of Doctors of Medicine
P19,Pat,Rice,"SVP, Sales","Ableto, Inc.",New York,New York,10018,Private,Parent,NA,"Ableto, Inc.",United States,"Ableto, Inc.",United States,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P20,Panos,Vasiloudes,Chief Executive Officer / President;President,"Academic Alliance In Dermatology, Inc.",Tampa,Florida,33615,Private,Parent,NA,"Academic Alliance In Dermatology, Inc.",United States,"Academic Alliance In Dermatology, Inc.",United States,Physicians and Health Practitioners,80110503,Dermatologist,8011,Offices and Clinics of Doctors of Medicine
P21,Debbie,Osteen,Chief Executive Officer,"Acadia Abilene, LLC",Franklin,Tennessee,37067,Private,Independent,NA,NA,NA,NA,NA,Outpatient Care,80939902,"Mental health clinic, outpatient",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P22,Debra,Osteen,"Chief Executive Officer, Director","Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P23,Christopher,Howard,"Executive Vice President, General Counsel, Secretary","Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P24,David,Duckworth,Chief Financial Officer,"Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P25,John,Hollinsworth,Executive Vice President of Operations,"Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P26,Larry,Harrod,Executive Vice President - Finance,"Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P27,Reeve,Waud,Independent Chairman of the Board,"Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
P28,Jason,Bernhard,Independent Director,"Acadia Healthcare Company, Inc.",Franklin,Tennessee,37067,Public,Parent,ACHC,"Acadia Healthcare Company, Inc.",United States,"Acadia Healthcare Company, Inc.",United States,Outpatient Care,80930000,"Specialty outpatient clinics, nec",8093,"Specialty Outpatient Facilities, Not Elsewhere Classified"
